cluster,token,τ,Φ,order
0,act,52,0.77491492,0
0,act,52,0.735934317,1
0,act,52,0.811853588,2
0,act,52,0.743252873,3
0,act,52,0.770647466,4
0,act,52,0.859426081,5
0,act,52,0.850809813,6
0,act,52,0.850809813,7
0,act,211,0.858238935,8
1,act,23,0.654138803,0
1,act,24,0.744497597,1
1,act,52,0.766298473,2
1,act,52,0.773344159,3
1,act,52,0.691764176,4
1,act,52,0.667995811,5
1,act,52,0.911255777,6
1,act,52,0.679515839,7
1,act,52,0.729439914,8
1,act,52,0.71373862,9
2,act,52,0.87386322,0
2,act,52,0.856441915,1
2,act,52,0.864114285,2
2,act,52,0.864114285,3
2,act,52,0.87386322,4
2,act,52,0.856441915,5
2,act,52,0.864114285,6
2,act,52,0.778243959,7
0,after,52,0.813877344,0
0,after,52,0.813877344,1
0,after,52,0.45110622,2
0,after,83,0.736506283,3
0,after,165,0.758482158,4
0,after,232,0.759157777,5
0,after,232,0.617266953,6
1,after,25,0.368502736,0
1,after,56,0.41913116,1
1,after,125,0.809445262,2
1,after,125,0.771412015,3
1,after,127,0.709514856,4
1,after,127,0.661623836,5
1,after,132,0.809445262,6
1,after,132,0.771412015,7
1,after,132,0.709514856,8
1,after,132,0.661623836,9
2,after,53,0.35296008,0
2,after,91,0.49337405,1
2,after,266,0.235733435,2
2,after,271,0.377913296,3
2,after,287,0.760786295,4
2,after,287,0.901668847,5
2,after,287,0.856554329,6
2,after,287,0.851814866,7
2,after,287,0.671672165,8
2,after,289,0.590460598,9
0,agency,22,0.833691359,0
0,agency,23,0.859024167,1
0,agency,24,0.869837463,2
0,agency,24,0.896169484,3
0,agency,56,0.869837463,4
0,agency,56,0.896169484,5
0,agency,77,0.905975223,6
1,agency,52,0.926960528,0
1,agency,52,0.889666378,1
1,agency,52,0.81468761,2
1,agency,52,0.889666378,3
1,agency,52,0.798928797,4
1,agency,52,0.889666378,5
1,agency,52,0.798928797,6
1,agency,52,0.885568023,7
1,agency,52,0.797037423,8
1,agency,52,0.885568023,9
0,agent,104,0.76337868,0
0,agent,118,0.731234133,1
0,agent,156,0.722594023,2
0,agent,196,0.700923741,3
0,agent,196,0.724557877,4
0,agent,196,0.75126195,5
0,agent,200,0.700793445,6
0,agent,211,0.778801024,7
0,agent,211,0.764573395,8
0,agent,212,0.787242293,9
1,agent,23,0.92908442,0
1,agent,25,0.92908442,1
1,agent,26,0.92908442,2
1,agent,52,0.881101012,3
1,agent,52,0.754946351,4
1,agent,52,0.881402791,5
1,agent,52,0.802933574,6
1,agent,52,0.799843073,7
1,agent,52,0.752200842,8
1,agent,52,0.799843073,9
0,all,36,0.707786679,0
0,all,36,0.747953475,1
0,all,36,0.675940037,2
0,all,36,0.828355789,3
0,all,36,0.778791726,4
0,all,36,0.772435546,5
0,all,36,0.71291256,6
0,all,36,0.75771004,7
0,all,36,0.720729291,8
0,all,36,0.628250718,9
